2023-03-11 00:15:54 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:15:54 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 00:17:46 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:17:46 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 00:23:16 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:23:16 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 00:32:37 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:32:37 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 00:38:18 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:38:18 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 00:46:00 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:46:00 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
2023-03-11 00:47:32 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:47:32 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'

2023-03-11 00:50:52 *NORMAL*     Started on Windows 10.0.0.19045 x64. Driver status: 0xC0000225
2023-03-11 00:50:56 *CRITICAL*   Injection initiated. Mode: 0, process type: 0, pid: 7260, mmap flags: 0x0, erasePE: 0, unlink: 0, thread hijack: 0, init routine: '', init arg: ''
2023-03-11 00:50:56 *CRITICAL*   Injecting image 'C:\Users\faced\Documents\VS Projects\based\build\based.dll'
